DocId,Namespace,Type,Member,DiagnosticIds
M:System.Environment.get_OSVersion,System,Environment,get_OSVersion,DE0009
M:System.Threading.Thread.get_CurrentCulture,System.Threading,Thread,get_CurrentCulture,DE0008
M:System.Threading.Thread.get_CurrentUICulture,System.Threading,Thread,get_CurrentUICulture,DE0008
M:System.Threading.Thread.set_CurrentCulture(System.Globalization.CultureInfo),System.Threading,Thread,set_CurrentCulture(CultureInfo),DE0008
M:System.Threading.Thread.set_CurrentUICulture(System.Globalization.CultureInfo),System.Threading,Thread,set_CurrentUICulture(CultureInfo),DE0008
F:System.PlatformID.MacOSX,System,PlatformID,MacOSX,DE0007
F:System.PlatformID.Win32S,System,PlatformID,Win32S,DE0007
F:System.PlatformID.Win32Windows,System,PlatformID,Win32Windows,DE0007
F:System.PlatformID.WinCE,System,PlatformID,WinCE,DE0007
F:System.PlatformID.Xbox,System,PlatformID,Xbox,DE0007
T:System.Collections.ArrayList,System.Collections,ArrayList,,DE0006
T:System.Collections.CaseInsensitiveComparer,System.Collections,CaseInsensitiveComparer,,DE0006
T:System.Collections.CaseInsensitiveHashCodeProvider,System.Collections,CaseInsensitiveHashCodeProvider,,DE0006
T:System.Collections.CollectionBase,System.Collections,CollectionBase,,DE0006
T:System.Collections.Comparer,System.Collections,Comparer,,DE0006
T:System.Collections.DictionaryBase,System.Collections,DictionaryBase,,DE0006
T:System.Collections.DictionaryEntry,System.Collections,DictionaryEntry,,DE0006
T:System.Collections.Hashtable,System.Collections,Hashtable,,DE0006
T:System.Collections.Queue,System.Collections,Queue,,DE0006
T:System.Collections.ReadOnlyCollectionBase,System.Collections,ReadOnlyCollectionBase,,DE0006
T:System.Collections.SortedList,System.Collections,SortedList,,DE0006
T:System.Collections.Stack,System.Collections,Stack,,DE0006
T:System.Net.FileWebRequest,System.Net,FileWebRequest,,DE0003
T:System.Net.FtpWebRequest,System.Net,FtpWebRequest,,DE0003
T:System.Net.HttpWebRequest,System.Net,HttpWebRequest,,DE0003
T:System.Net.WebClient,System.Net,WebClient,,DE0004
T:System.Net.WebRequest,System.Net,WebRequest,,DE0003
T:System.Net.Mail.SmtpClient,System.Net.Mail,SmtpClient,,DE0005
T:System.Security.SecureString,System.Security,SecureString,,DE0001
N:System.Security.Permissions,System.Security.Permissions,,,DE0002
